STATION_NUMBER,TRAFFIC_COUNT,TRAFFIC_YEAR_COUNTED,STATUS,STREET_NAME,CHRIS_NUMB,PAVETYPE,FUNCTIONAL_CLASS
277,14863,2022,Active Station,SOUTH BOULDER RD,6003,Concrete,Principal Arterial
279,10548,2022,Active Station,SOUTH BOULDER RD,6002,Concrete,Principal Arterial
281,9973,2022,Active Station,SOUTH BOULDER RD,6002,Concrete,Principal Arterial
145,1295,2022,Active Station,NEVA RD,3401,Asphalt,Collector
127,622,2022,Active Station,FAIRWAYS DR,426606,Asphalt,Residential Collector
469,206,2022,Active Station,CR 83,8300,Gravel,Local
607,1070,2020,Active Station,KENOSHA RD,3806,Asphalt,Collector
199,930,2020,Active Station,N 109TH ST,45016,Asphalt,Local
608,5040,2020,Active Station,ARAPAHOE RD,5402,Asphalt,Minor Arterial
252,6625,2022,Active Station,N 95TH ST,1906,Asphalt,Minor Arterial
609,6218,2021,Active Station,EAST COUNTY LINE RD,90101,Asphalt,Minor Arterial
610,3620,2022,Active Station,CHERRYVALE RD,3906,Asphalt,Collector
391,2513,2022,Active Station,BUTTE MILL RD,3905,Asphalt,Minor Arterial
447,380,2022,Active Station,CARIBOU RD,12801,Gravel,Local
465,2107,2022,Active Station,LINDEN DR,645213,Asphalt,Residential Collector
5,3136,2022,Active Station,N 95TH ST,1903,Asphalt,Minor Arterial
59,7083,2022,Active Station,N 95TH ST,1904,Asphalt,Minor Arterial
611,4165,2021,Active Station,N 75TH ST,3102,Asphalt,Minor Arterial
477,120,2022,Active Station,BIG OWL RD,8201,Gravel,Local
476,133,2022,Active Station,CR 82E,8202,Gravel,Local
474,826,2022,Active Station,CR 84W,8402,Asphalt,Local
403,125,2022,Active Station,CR 90,9000,Gravel,Local
405,126,2022,Active Station,RIVERSIDE DR,10301,Asphalt,Local
404,148,2022,Active Station,RIVERSIDE DR,10300,Asphalt,Local
406,96,2022,Active Station,RIVERSIDE DR,10301,Asphalt,Local
453,44,2022,Active Station,PEACEFUL VALLEY RD,9201,Asphalt,Local
407,356,2022,Active Station,OVERLAND RD,9405,Gravel,Collector
460,688,2022,Active Station,OVERLAND RD,9404,Asphalt,Collector
481,84,2022,Active Station,CR 87,8701,Gravel,Local
491,805,2021,Active Station,JAMES CANYON DR,9403,Asphalt,Collector
419,83,2022,Active Station,CR 100,10000,Gravel,Local Secondary
418,1236,2022,Active Station,BRAINARD LAKE DR,10201,Asphalt,Collector
420,708,2022,Active Station,INDIANA GULCH RD,10615,Asphalt,Minor Arterial
427,130,2022,Active Station,GOLD HILL RD,5213,Gravel,Collector
448,155,2022,Active Station,RAINBOW LAKES RD,11600,Gravel,Local Secondary
436,176,2022,Active Station,COLD SPRING RD,12404,Gravel,Collector
437,1022,2022,Active Station,RIDGE RD,12804,Asphalt,Collector
442,123,2022,Active Station,LAKE ELDORA SKI RD,14000,Asphalt,Collector
441,940,2022,Active Station,ELDORA RD,13002,Asphalt,Collector
440,440,2022,Active Station,MAGNOLIA DR,13202,Gravel,Collector
483,199,2022,Active Station,CR 97,9700,Gravel,Local
484,297,2022,Active Station,RIDGE RD,764901,Gravel,Local
485,187,2022,Active Station,RIDGE RD,764901,Gravel,Local
439,558,2022,Active Station,HURRICANE HILL DR,12805,Asphalt,Local
208,3298,2022,Active Station,N 71ST ST,3303,Asphalt,Minor Arterial
438,429,2022,Active Station,MAGNOLIA DR,13202,Gravel,Collector
472,204,2022,Active Station,CR 68,6800,Gravel,Local
444,292,2022,Active Station,SUNSHINE CANYON DR,5212,Gravel,Collector
417,218,2022,Active Station,GOLD HILL RD,5213,Gravel,Collector
426,177,2022,Active Station,GOLD RUN RD,8901,Asphalt,Collector
425,224,2022,Active Station,FOURMILE CANYON DR,11802,Asphalt,Local
424,400,2022,Active Station,FOURMILE CANYON DR,11801,Asphalt,Collector
433,120,2020,Active Station,PRIMOS RD,734003,Gravel,Local
